;user;tweet_type;verified;followers;hashtags
92;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
93;naipozze;recent;False;172;['cachoeirodeitapemirim', 'transito']
94;Fenixreality;recent;False;2420;['QueroNoTVZ']
95;aeltonsmonteiro;recent;False;14;['vemDavidLuiz']
96;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
97;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
98;Marcelo33956688;recent;False;16;['VemDavidLuiz']
99;Edilsonperesrj1;recent;False;38;['CidadeAlertaRJ']
100;driespindola;recent;False;951;['sersantuario']
101;Fenixreality;recent;False;2420;['QueroNoTVZ']
102;DanelonEduardo;recent;False;354;['PareConfiscoDoria']
103;Guilherme8749;recent;False;2588;['VemDavidLuiz']
104;Fenixreality;recent;False;2420;['QueroNoTVZ']
105;JoaoNas77676979;recent;False;300;['ForaBolsonaroeSuaQuadrilha']
106;Erick_E13;recent;False;109;['twitch']
107;alanfattori;recent;False;705;['ShangChi']
108;Levado_jogasujo;recent;False;1269;['LuauTioPatinhasJogaSujo']
109;arthursilvaGFR;recent;False;55;['EPJuliette']
110;nelsonmiguels;recent;False;308;['appleiphone']
111;navesps3;recent;False;466;['RACHADINHA', 'pecdarachadinha', 'PEC32']
112;DarlyMenconi;recent;False;33;['MarcoTemporalNão']
113;GAntonelliAmor;recent;False;263;['AmoresVerdadeiros149']
114;_peedroofficial;recent;False;69310;['bailedosleoes']
115;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
116;Fenixreality;recent;False;2420;['QueroNoTVZ']
117;rosavas;recent;False;1651;['Dia7VaiSerGIGANTESCO', 'Dia07EuVou']
118;Mary_Tataboa;recent;False;40;['QueroNoTVZ']
119;ronaldoadvrlm;recent;False;70;['vivaosus']
120;Edilsonperesrj1;recent;False;38;['CidadeAlertaRJ']
121;Fenixreality;recent;False;2420;['QueroNoTVZ']
122;ROmorais27UK;recent;False;212;['igg', 'igm', 'anticorpos', 'unaerp', 'medicina', 'med', 'guaruja', 'medicos']
123;kauezzera;recent;False;487;['VemDavidLuiz', 'VemDavidLuiz']
124;Fenixreality;recent;False;2420;['QueroNoTVZ']
125;sanperexpress;recent;False;30;['mariafilo', 'animale', 'animalejeans']
126;FLAD24;recent;False;0;['VemDavidLuiz']
127;d4rkry;recent;False;300;['VemDavidLuiz']
128;RDflamengo;recent;False;47;['vemDavidLuiz']
129;Adan_JC;recent;False;5059;['ATÉQUINTA', 'Revelação']
130;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
131;rosavas;recent;False;1651;['Dia7VaiSerGIGANTESCO']
132;FLAD24;recent;False;0;['VemDavidLuiz']
133;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
134;myckon;recent;False;506;['TrêsMeses']
135;AngellaBritto2;recent;False;93;['AmoresVerdadeiros149']
136;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
137;Flazueiro;recent;False;53028;['DavidLuizNoMengo']
138;_OfficialVH;recent;False;420;['nubank', 'sounubank']
139;MarcelodeAgui12;recent;False;30;['vemDavidLuiz']
140;Isabellabrand;recent;False;265;['7deSetembroVaiSerGigante']
141;euamopg;recent;False;2927;['euamopg']
142;Edilsonperesrj1;recent;False;38;['CidadeAlertaRJ']
143;prpaulocesar;recent;False;918;['brasil', '7desetembro']
144;Fenixreality;recent;False;2420;['QueroNoTVZ']
145;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
146;Davidlucxs;recent;False;203;['Instagram']
147;Fenixreality;recent;False;2420;['QueroNoTVZ']
148;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
149;Fenixreality;recent;False;2420;['QueroNoTVZ']
150;fransilvx;recent;False;97;['VemDavidLuiz', 'VemDavidLuiz']
151;EMBAIXADAFLABH;recent;False;828;['flamengo', 'flabh']
152;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
153;Fenixreality;recent;False;2420;['QueroNoTVZ']
154;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
155;FLAD24;recent;False;0;['VemDavidLuiz']
156;roberto43310935;recent;False;482;['Dia7VaiSerGIGANTESCO']
157;Fenixreality;recent;False;2420;['QueroNoTVZ']
158;brsouzadasilva;recent;False;27;['vemDavidLuiz']
159;jsoares_of;recent;False;4;['CidadeAlertaRJ']
160;Welling57965664;recent;False;60;['Sangue']
161;RDflamengo;recent;False;47;['vemDavidLuiz']
162;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
163;RenanRo85617141;recent;False;0;['vemDavidLuiz']
164;KKLemosRj;recent;False;470;['medo']
165;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
166;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
167;MarciaChies;recent;False;5143;['Dia7VaiSerGIGANTESCO']
168;ArianoOh;recent;False;92;['ForaBolsonaro', 'ForaGenocida']
169;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
170;Vinicius_Fla021;recent;False;411;['vemDavidLuiz']
171;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
172;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
173;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
174;travelinmyword;recent;False;188;['HappyBirthdayKeanuReeve']
175;roberto43310935;recent;False;482;['Dia7VaiSerGIGANTESCO']
176;RDflamengo;recent;False;47;['vemDavidLuiz']
177;FLAD24;recent;False;0;['VemDavidLuiz']
178;tsta_fps;recent;False;112;['MarioRabbids']
179;danielramos_rj;recent;False;819;['vemDavidLuiz']
180;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
181;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
182;alexnobre;recent;False;1151;['ShangChi']
183;FelipeBarretod3;recent;False;3079;['VemDavidLuiz', 'VemDavidLuiz']
184;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
185;Jnior45474744;recent;False;23;['instagramdown', 'BoaNoite']
186;FLAD24;recent;False;0;['VemDavidLuiz']
187;leo_giovanetti;recent;False;107;['ABBAVoyage']
188;Medeiroszx;recent;False;550;['VemDavidLuiz']
189;edubto;recent;False;204;['TBT']
190;roberto43310935;recent;False;482;['Dia7VaiSerGIGANTESCO']
191;Kluivertpinho2;recent;False;13979;['tbt']
192;FLAD24;recent;False;0;['VemDavidLuiz']
193;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
194;TvViciada;recent;False;959;['AmoresVerdadeiros149']
195;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
196;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
197;EMarcella1994;recent;False;115;['AyFer']
198;FernandaKeulla;recent;True;521407;['PerrengueLove']
199;FLAD24;recent;False;0;['VemDavidLuiz']
200;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
201;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
202;AndressaLodi2;recent;False;298;['tbt']
203;farmedeiros;recent;False;2541;['VemDavidLuiz']
204;CAOVIN;recent;False;394;['bol', 'col']
205;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
206;RDflamengo;recent;False;47;['vemDavidLuiz']
207;cncassiano;recent;False;8235;['tbt', 'MusicaCançãoNova']
208;odmarcio1978;recent;False;221;['vessoninaopisanocorinthians']
209;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
210;Max_Laguna;recent;True;1252;['ShangChi', 'MCU', 'MarvelStudios']
211;Fenixreality;recent;False;2420;['QueroNoTVZ']
212;ceni2005;recent;False;1471;['DoomPatrol']
213;diegoteotonio9;recent;False;129;['vemDavidLuiz']
214;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
215;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
